name,gid,geom,capacity,distance,point,rotation
DE08-DE09,285,"LINESTRING(7.16369421422535 50.5749990662272,7.62207335548995 49.7001520403534)",8442.431328284523,191.0,POINT(07.27 50.25),-72
DE10-DE18,284,"LINESTRING(10.5713937805083 48.1987561268591,12.2359023642059 48.3413394003217)",2506.346800584468,525.0,POINT(11.00 48.35),7
DE12-DE10,283,"LINESTRING(9.0280324462394 48.3259187891233,10.5713937805083 48.1987561268591)",5012.693601168936,600.0,POINT(09.55 48.33),-7
DE11-DE12,282,"LINESTRING(9.11768871718485 49.2613887299689,9.0280324462394 48.3259187891233)",12004.082044904559,205.0,POINT(08.75 48.90),87
DE17-DE11,281,"LINESTRING(11.032699970576 49.6814629758601,9.11768871718485 49.2613887299689)",2506.346800584468,407.0,POINT(09.37 49.51),19
DE17-DE12,280,"LINESTRING(11.032699970576 49.6814629758601,9.0280324462394 48.3259187891233)",0.0,0.0,POINT(09.56 49.10),48
DE17-DE10,279,"LINESTRING(11.032699970576 49.6814629758601,10.5713937805083 48.1987561268591)",0.0,0.0,POINT(10.44 48.95),77
DE17-DE18,278,"LINESTRING(11.032699970576 49.6814629758601,12.2359023642059 48.3413394003217)",5936.084527700055,119.0,POINT(11.40 49.20),-60
DE09-DE11,276,"LINESTRING(7.62207335548995 49.7001520403534,9.11768871718485 49.2613887299689)",10223.25668659454,545.0,POINT(08.36 49.50),-23
DE09-DE17,275,"LINESTRING(7.62207335548995 49.7001520403534,11.032699970576 49.6814629758601)",725.5214422744513,394.0,POINT(09.00 49.73),0
DE16-DE17,274,"LINESTRING(9.20408180190541 50.9442682052912,11.032699970576 49.6814629758601)",3231.868242858919,427.0,POINT(09.80 50.50),-46
DE16-DE09,273,"LINESTRING(9.20408180190541 50.9442682052912,7.62207335548995 49.7001520403534)",2506.346800584468,247.0,POINT(07.95 50.40),49
DE16-DE08,272,"LINESTRING(9.20408180190541 50.9442682052912,7.16369421422535 50.5749990662272)",2506.346800584468,301.0,POINT(07.90 50.85),16
DE07-DE16,271,"LINESTRING(8.02611832789396 51.4252608448197,9.20408180190541 50.9442682052912)",5012.693601168936,276.0,POINT(08.35 51.30),-35
DE07-DE08,270,"LINESTRING(8.02611832789396 51.4252608448197,7.16369421422535 50.5749990662272)",3231.868242858919,169.0,POINT(07.30 51.20),57
DE06-DE07,269,"LINESTRING(6.81528228797147 51.5249079905116,8.02611832789396 51.4252608448197)",8244.561844027856,124.0,POINT(07.18 51.52),-8
DE06-DE08,268,"LINESTRING(6.81528228797147 51.5249079905116,7.16369421422535 50.5749990662272)",7519.040401753404,257.0,POINT(06.86 51.20),-77
DE05-DE07,267,"LINESTRING(7.58542531620187 52.4803770144024,8.02611832789396 51.4252608448197)",1978.694842566685,199.0,POINT(07.75 51.95),-75
DE05-DE06,266,"LINESTRING(7.58542531620187 52.4803770144024,6.81528228797147 51.5249079905116)",3231.868242858919,128.0,POINT(06.72 52.00),65
DE15-DE16,265,"LINESTRING(9.90838743949477 52.3927199053649,9.20408180190541 50.9442682052912)",3231.868242858919,156.0,POINT(09.16 51.70),72
DE15-DE07,264,"LINESTRING(9.90838743949477 52.3927199053649,8.02611832789396 51.4252608448197)",5012.693601168936,169.0,POINT(08.55 52.03),40
DE15-DE05,263,"LINESTRING(9.90838743949477 52.3927199053649,7.58542531620187 52.4803770144024)",725.5214422744513,354.0,POINT(08.50 52.48),-4
DE03-DE17,262,"LINESTRING(11.2610584435437 51.1220657255745,11.032699970576 49.6814629758601)",2506.346800584468,374.0,POINT(10.85 50.50),84
DE03-DE16,261,"LINESTRING(11.2610584435437 51.1220657255745,9.20408180190541 50.9442682052912)",2506.346800584468,382.0,POINT(10.00 51.11),9
DE03-DE15,260,"LINESTRING(11.2610584435437 51.1220657255745,9.90838743949477 52.3927199053649)",0.0,0.0,POINT(10.40 51.90),-57
DE04-DE03,259,"LINESTRING(13.4816030285055 51.2578258693709,11.2610584435437 51.1220657255745)",8970.083286302306,104.0,POINT(12.00 51.25),5
DE01-DE04,258,"LINESTRING(12.7172655250026 53.0449917354247,13.4816030285055 51.2578258693709)",6463.736485717838,583.0,POINT(13.00 52.30),-75
DE01-DE03,257,"LINESTRING(12.7172655250026 53.0449917354247,11.2610584435437 51.1220657255745)",2506.346800584468,488.0,POINT(11.58 52.20),63
DE01-DE15,256,"LINESTRING(12.7172655250026 53.0449917354247,9.90838743949477 52.3927199053649)",2506.346800584468,234.0,POINT(10.70 52.76),21
DE01-DE14,255,"LINESTRING(12.7172655250026 53.0449917354247,8.70298124395035 53.2314717212254)",0.0,0.0,POINT(10.40 53.19),-5
DE01-DE19,254,"LINESTRING(12.7172655250026 53.0449917354247,12.7325189718575 54.605159132325)",0.0,0.0,POINT(12.70 53.90),-90
DE13-DE01,253,"LINESTRING(9.80582809869682 54.1888268326812,12.7172655250026 53.0449917354247)",2506.346800584468,421.0,POINT(11.20 53.65),-35
DE13-DE02,252,"LINESTRING(9.80582809869682 54.1888268326812,10.0272087462133 53.5545681838881)",2506.346800584468,780.0,POINT(09.85 53.87),-79
DE13-DE20,251,"LINESTRING(9.80582809869682 54.1888268326812,7.10297517567868 54.8700695240496)",0.0,0.0,POINT(08.45 54.55),-24
DE14-DE05,250,"LINESTRING(8.70298124395035 53.2314717212254,7.58542531620187 52.4803770144024)",5012.693601168936,215.0,POINT(07.68 52.95),48
DE14-DE15,249,"LINESTRING(8.70298124395035 53.2314717212254,9.90838743949477 52.3927199053649)",6991.388443735621,480.0,POINT(09.10 52.90),-50
DE14-DE02,248,"LINESTRING(8.70298124395035 53.2314717212254,10.0272087462133 53.5545681838881)",2506.346800584468,739.0,POINT(09.22 53.54),23
DE14-DE13,247,"LINESTRING(8.70298124395035 53.2314717212254,9.80582809869682 54.1888268326812)",5738.215043443387,70.0,POINT(08.87 53.85),55
DE14-DE21,246,"LINESTRING(8.70298124395035 53.2314717212254,6.52270189161074 54.3418970056466)",0.0,0.0,POINT(07.61 53.78),-42
