"Länderarbeitskreis Energiebilanzen"
"Vollständige Energiebilanz "
"Einheit: Terajoule"
" "
Land;Jahr;Bilanzzeile;Anm;Insgesamt;"Kohle (roh)";Briketts;Koks;"Andere Steinkohlen produkte";"Kohle (roh)";Briketts;"Koks, Hartbraun kohle, andere Braunkohlen produkte";"Erdöl (roh)";Rohbenzin;"Ottokraft stoffe";"Dieselkraft stoffe";"Flugturbinen kraftstoffe";"Heizöl leicht";"Heizöl schwer";Petrolkoks;"Andere Mineralöl produkte";Flüssiggas;Raffineriegas;"Kokereigas, Stadtgas";"Gichtgas, Konvertergas";"Erdgas, Erdölgas";"Grubengas, sonstige Gase";"Klärgas, Deponiegas";Wasserkraft;Windkraft;Solarenergie;"Biomasse 1)";"Sonstige erneuerbare Energien 2)";Strom;Kernenergie;Fernwärme;"Andere Energieträger";Stand
Baden-Württemberg;1990;Gewinnung;;37892;0;0;0;0;0;0;0;1705;0;0;0;0;0;0;0;0;0;0;0;0;2539;0;1932;14113;0;0;12168;0;0;0;0;5435;
Baden-Württemberg;1990;Bezüge;;1672163;178355;911;4326;0;0;2543;2797;764596;0;0;1239;0;34592;0;0;0;0;0;0;0;225929;0;0;0;0;0;0;0;105851;351024;0;0;
Baden-Württemberg;1990;Bestandsentnahmen;;5586;4884;0;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;444;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;Energieaufkommen;;1715641;183239;911;4584;0;0;2543;2797;766301;0;0;1239;0;34592;0;0;0;0;0;0;0;228912;0;1932;14113;0;0;12168;0;105851;351024;0;5435;
Baden-Württemberg;1990;Lieferungen;;285965;0;0;0;0;0;0;0;0;915;78552;0;6577;0;32458;4514;15028;9085;0;0;0;43288;0;0;0;0;0;0;0;95548;0;0;0;
Baden-Württemberg;1990;Bestandsaufstockungen;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;Primärenergieverbrauch;;1429676;183239;911;4584;0;0;2543;2797;766301;-915;-78552;1239;-6577;34592;-32458;-4514;-15028;-9085;0;0;0;185624;0;1932;14113;0;0;12168;0;10303;351024;0;5435;
Baden-Württemberg;1990;"Umw-Einsatz: Kokereien";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;"Umw-Einsatz: Steinkohlen- und Braunkohlenbrikettfabriken";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;"Umw-Einsatz: Wärmekraftwerke der allgemeinen Versorgung (ohne KWK)";LAK2);164139;141783;0;0;0;0;0;0;0;0;0;0;0;2221;6442;0;0;0;0;0;0;10981;0;0;0;0;0;1627;0;0;0;0;1085;
Baden-Württemberg;1990;"Umw-Einsatz: Heizkraftwerke der allgemeinen Versorgung (nur KWK)";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Baden-Württemberg;1990;"Umw-Einsatz: Industriewärmekraftwerke";;38282;13252;0;0;0;0;0;0;0;0;0;0;0;299;7180;0;0;0;4159;0;0;9553;0;59;0;0;0;557;0;0;0;0;3223;
