,,,Steinkohle (roh),Steinkohle (Briketts),Steinkohle (Koks),Steinkohle (sonstige),Braunkohle (roh),Braunkohle (Briketts),Braunkohle (sonstige),Erdöl,Rohbenzin,Ottokraftstoffe,Dieselkraftstoffe,Flugturbinenkraftstoffe,Heizöl (leicht),Heizöl (schwer),Petrolkoks,Mineralölprodukte (sonstige),Flüssiggas,Raffineriegas,"Kokereigas, Stadtgas","Gichtgas, Konvertergas",Erdgas,Grubengas,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse,Biotreibstoff,Abfälle (biogen),EE (sonstige),Strom,Kernenergie,Fernwärme,Abfälle (nicht biogen),andere Energieträger,Insgesamt
2012,BW,Endenergieverbrauch,2059.8207,,1448.8566,,,1223.7693,3823.9811,,,105129.993,182178.9526,10738.8,127715.0342,906.6648,1162.5349,227.227,7210.8171,,,,205155.0878,,23.2906,,,5040.0,59412.8393,,,5569.6414,244305.2134,,43418.611,,5034.1614,1011785.2962
2012,BW,Gewinngung und verarbeitendes Gewerbe,1886.5478,,1448.8566,,,0.7583,3823.9811,,,,16.91,,9852.7274,906.6648,1162.5349,131.9973,756.3777,,,,68837.1705,,23.2906,,,,12913.641,,,1.4474,99944.7056,,16298.2685,,5034.1614,223040.0411
2012,BW,Schienenverkehr,,,,,,,,,,,1079.0643,,,,,,,,,,,,,,,,69.5944,,,,5761.656,,,,,6910.3147
2012,BW,Straßenverkehr,,,,,,,,,,103598.0387,170572.0925,,,,,,2108.0746,,,,494.1456,,,,,,16377.449,,,,,,,,,293149.8003
2012,BW,Luftverkehr,,,,,,,,,,68.82,,10738.8,,,,,,,,,,,,,,,,,,,,,,,,10807.62
2012,BW,Küsten und Binnenschiffahrt,,,,,,,,,,,559.5148,,,,,,,,,,,,,,,,36.086,,,,,,,,,595.6008
2012,BW,Verkehr insgesamt,,,,,,,,,,103666.8587,172210.6716,10738.8,,,,,2108.0746,,,,494.1456,,,,,,16483.1293,,,,5761.656,,,,,311463.3358
2012,BW,Haushalte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BW,"Gewerbe, Handel, Dienstleistungen und übrige Verbraucher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,BW,"Haushalte, Gewerbe, Handel, Dienstleistungen, übrige Verbraucher",173.2729,,,,,1223.011,,,,1463.1343,9951.3709,,117862.3067,,,95.2298,4346.3648,,,,135823.7717,,,,,5040.0,30016.0689,,,5568.194,138598.8518,,27120.3425,,,477281.9193
