Stand: September 2015 (non EEG), December 2015 (EEG)
Quelle: https://www.bundesnetzagentur.de/DE/Sachgebiete/ElektrizitaetundGas/Unternehmen_Institutionen/DatenaustauschundMonitoring/Monitoring/Monitoringberichte/Monitoring_Berichte.html;jsessionid=886F11A492BAE1CC7697A4E445361169?nn=266276
,Braunkohle,Steinkohle,Erdgas,Kernenergie,Pumpspeicher,Öl,Sonstige (ne),Biomasse,Laufwasser,Wind,Solar,Sonstige (ee)
BW,,5526.0,1053.0,2712.0,1873.0,700.0,49.0,778.0,780.0,735,5117.0,79.0
BY,,847.0,4599.0,3982.0,543.0,969.0,136.0,1439.0,1922.0,1821,11309.0,332.0
BE,164.0,777.0,1087.0,,,327.0,18.0,43.0,,9,84.0,18.0
BB,4409.0,0.0,846.0,,,334.0,183.0,437.0,5.0,5831,2982.0,91.0
HB,,896.0,170.0,,,88.0,206.0,7.0,10.0,174,41.0,48.0
HH,,960.0,150.0,,,38.0,12.0,44.0,,63,37.0,12.0
HE,34.0,753.0,1620.0,,623.0,25.0,102.0,243.0,63.0,1280,1811.0,110.0
MV,,514.0,318.0,,,,9.0,353.0,3.0,2843,1414.0,20.0
NI,352.0,2202.0,4061.0,2696.0,220.0,59.0,326.0,1355.0,59.0,8457,3580.0,62.0
NW,10621.0,11643.0,7917.0,,303.0,504.0,2030.0,742.0,146.0,4046,4364.0,330.0
RP,,13.0,1922.0,,,,107.0,168.0,223.0,2908,1920.0,69.0
SL,,2206.0,114.0,,,,152.0,19.0,11.0,298,416.0,14.0
SN,4325.0,,657.0,,1085.0,17.0,8.0,291.0,211.0,1161,1608.0,19.0
ST,1152.0,,781.0,,80.0,231.0,135.0,418.0,26.0,4590,1963.0,109.0
SH,,730.0,31.0,1410.0,119.0,575.0,70.0,411.0,5.0,5728,1498.0,30.0
TH,,,482.0,,1509.0,,6.0,250.0,32.0,1297,1187.0,12.0
EEZ,,,,,,,,,,3428,,
