gid,st_x,st_y
1000000,-18.768,25.645
1000001,-18.872999,25.844
1000002,-18.979,26.042999
1000003,-19.084,26.240999
1000004,-19.191,26.438999
1000005,-19.297001,26.638
1000006,-19.403999,26.836
1000007,-19.511,27.034
1000008,-19.618999,27.232
1000009,-19.726999,27.43
1000010,-19.834999,27.628
1000011,-19.944,27.826
1000012,-20.054001,28.023001
1000013,-20.163,28.221001
1000014,-20.273001,28.417999
1000015,-20.384001,28.615999
1000016,-20.493999,28.813
1000017,-20.606001,29.01
1000018,-20.716999,29.208
1000019,-20.83,29.405001
1000020,-20.941999,29.601999
1000021,-21.055,29.799
1000022,-21.169001,29.995001
1000023,-21.283001,30.191999
1000024,-21.396999,30.389
1000025,-21.511999,30.584999
1000026,-21.627001,30.782
1000027,-21.743,30.978001
1000028,-21.858999,31.174
1000029,-21.976,31.370001
1000030,-22.093,31.566
1000031,-22.211,31.761999
1000032,-22.329,31.958
1000033,-22.448,32.153
1000034,-22.566999,32.348999
1000035,-22.687,32.543999
1000036,-22.806999,32.740002
1000037,-22.927999,32.935001
1000038,-23.049,33.130001
1000039,-23.171,33.325001
1000040,-23.292999,33.52
1000041,-23.416,33.714001
1000042,-23.540001,33.909
1000043,-23.664,34.103001
1000044,-23.788,34.298
1000045,-23.914,34.492001
1000046,-24.039,34.686001
1000047,-24.166,34.880001
1000048,-24.292999,35.074001
1000049,-24.421,35.268002
1000050,-24.549,35.460999
1000051,-24.677999,35.654999
1000052,-24.806999,35.848
1000053,-24.937,36.041
1000054,-25.068001,36.234001
1000055,-25.198999,36.426998
1000056,-25.330999,36.619999
1000057,-25.464001,36.812
1000058,-25.597,37.005001
1000059,-25.731001,37.196999
1000060,-25.865999,37.389
1000061,-26.002001,37.581001
1000062,-26.138,37.772999
1000063,-26.275,37.964001
1000064,-26.412001,38.155998
1000065,-26.549999,38.347
1000066,-26.688999,38.537998
1000067,-26.829,38.729
1000068,-26.969999,38.919998
1000069,-27.111,39.111
1000070,-27.253,39.300999
1000071,-27.396,39.492001
1000072,-27.539,39.681999
1000073,-27.684,39.872002
1000074,-27.829,40.062
1000075,-27.975,40.250999
1000076,-28.122,40.441002
1000077,-28.268999,40.630001
1000078,-28.417999,40.819
1000079,-28.566999,41.007999
1000080,-28.716999,41.196999
1000081,-28.868,41.384998
1000082,-29.02,41.573002
1000083,-29.173,41.761002
1000084,-29.327,41.949001
1000085,-29.481001,42.137001
1000086,-29.636999,42.324001
1000087,-29.792999,42.512001
1000088,-29.951,42.699001
1000089,-30.108999,42.884998
1000090,-30.268,43.071999
1000091,-30.429001,43.257999
1000092,-30.59,43.444
1000093,-30.752001,43.630001
1000094,-30.915001,43.816002
1000095,-31.08,44.001999
1000096,-31.245001,44.187
1000097,-31.410999,44.372002
1000098,-31.579,44.556
1000099,-31.747,44.741001
1000100,-31.917,44.924999
1000101,-32.087002,45.109001
1000102,-32.258999,45.292999
1000103,-32.431999,45.476002
1000104,-32.605999,45.66
1000105,-32.780998,45.841999
1000106,-32.957001,46.025002
1000107,-33.134998,46.208
1000108,-33.313,46.389999
1000109,-33.493,46.570999
1000110,-33.674,46.752998
1000111,-33.856998,46.933998
1000112,-34.040001,47.115002
1000113,-34.224998,47.296001
1000114,-34.410999,47.476002
1000115,-34.598,47.655998
1000116,-34.786999,47.835999
1000117,-34.977001,48.015999
1000118,-35.167999,48.195
1000119,-35.361,48.374001
1000120,-35.554001,48.551998
1000121,-35.75,48.73
1000122,-35.945999,48.908001
1000123,-36.145,49.085999
1000124,-36.344002,49.263
1000125,-36.544998,49.439999
1000126,-36.747002,49.616001
1000127,-36.951,49.792
1000128,-37.157001,49.967999
1000129,-37.362999,50.143002
1000130,-37.571999,50.318001
1000131,-37.782001,50.493
1000132,-37.993,50.667
1000133,-38.206001,50.841
1000134,-38.421001,51.014999
1000135,-38.637001,51.188
1000136,-38.855,51.360001
1000137,-39.075001,51.533001
1000138,-39.296001,51.705002
1000139,-39.519001,51.875999
1000140,-39.743,52.047001
1000141,-39.970001,52.217999
1000142,-40.198002,52.388
1000143,-40.426998,52.557999
1000144,-40.659,52.727001
1000145,-40.891998,52.896
1000146,-41.127998,53.063999
1000147,-41.365002,53.231998
1000148,-41.604,53.398998
1000149,-41.844002,53.566002
1000150,-42.087002,53.733002
1000151,-42.332001,53.898998
1000152,-42.577999,54.063999
1000153,-42.827,54.229
1000154,-43.077,54.393002
1000155,-43.330002,54.556999
1000156,-43.584999,54.721001
1000157,-43.841,54.883999
1000158,-44.099998,55.046001
1000159,-44.361,55.208
1000160,-44.624001,55.368999
1000161,-44.889,55.528999
1000162,-45.155998,55.688999
1000163,-45.425999,55.848999
1000164,-45.696999,56.007999
1000165,-45.971001,56.166
1000166,-46.247002,56.324001
1000167,-46.526001,56.480999
1000168,-46.806999,56.637001
1000169,-47.09,56.792999
1000170,-47.375,56.948002
1000171,-47.662998,57.102001
1000172,-47.952999,57.256001
1000173,-48.245998,57.409
1000174,-48.541,57.562
1000175,-48.839001,57.713001
1000176,-49.139,57.863998
1000177,-49.442001,58.014999
1000178,-49.747002,58.164001
1000179,-50.055,58.313
1000180,-50.365002,58.460999
1000181,-50.678001,58.609001
1000182,-50.993,58.755001
1000183,-51.312,58.901001
1000184,-51.632999,59.046001
1000185,-51.956001,59.189999
1000186,-52.283001,59.334
1000187,-52.612,59.476002
1000188,-52.944,59.618
1000189,-53.278999,59.758999
1000190,-53.616001,59.898998
1000191,-53.957001,60.037998
1000192,-54.299999,60.175999
1000193,-54.646,60.313999
1000194,-54.994999,60.450001
1000195,-55.347,60.585999
1000196,-55.702,60.720001
1000197,-56.060001,60.854
1000198,-56.421001,60.987
1000199,-56.785,61.118999
1000200,-57.152,61.249001
1000201,-57.522999,61.379002
1000202,-57.896,61.507999
1000203,-58.271999,61.636002
1000204,-58.651001,61.762001
1000205,-59.034,61.888
1000206,-59.418999,62.013
1000207,-59.807999,62.136002
1000208,-60.200001,62.257999
1000209,-60.595001,62.380001
1000210,-60.993999,62.5
1000211,-61.395,62.618999
1000212,-61.799999,62.737
1000213,-62.208,62.853001
1000214,-62.618999,62.969002
1000215,-63.034,63.083
1000216,-63.451,63.195999
1000217,-63.872002,63.307999
1000218,-64.296997,63.418999
1000219,-64.723999,63.528
1000220,-65.154999,63.636002
1000221,-65.588997,63.743
1000222,-66.026001,63.848
1000223,-66.467003,63.952
1000224,-66.911003,64.055
1000225,-67.358002,64.155998
1000226,-67.807999,64.255997
1000227,-68.262001,64.355003
1001000,-18.566,25.732
1001001,-18.67,25.931
1001002,-18.775,26.129999
1001003,-18.879999,26.327999
1001004,-18.986,26.527
1001005,-19.091999,26.725
1001006,-19.198,26.924
1001007,-19.305,27.122
1001008,-19.412001,27.320999
1001009,-19.518999,27.518999
1001010,-19.627001,27.716999
1001011,-19.735001,27.915001
1001012,-19.844,28.113001
1001013,-19.952999,28.311001
1001014,-20.063,28.509001
1001015,-20.172001,28.707001
1001016,-20.283001,28.903999
1001017,-20.393,29.101999
1001018,-20.504,29.299
1001019,-20.615999,29.497
1001020,-20.728001,29.694
1001021,-20.84,29.891001
1001022,-20.952999,30.087999
1001023,-21.066999,30.285
1001024,-21.18,30.482
1001025,-21.295,30.679001
1001026,-21.409,30.875999
1001027,-21.524,31.072001
1001028,-21.639999,31.268999
1001029,-21.756001,31.465
1001030,-21.872999,31.660999
1001031,-21.99,31.858
1001032,-22.107,32.054001
1001033,-22.226,32.25
1001034,-22.344,32.445999
1001035,-22.462999,32.640999
1001036,-22.583,32.837002
1001037,-22.702999,33.032001
1001038,-22.823999,33.228001
1001039,-22.945,33.423
1001040,-23.066999,33.618
1001041,-23.188999,33.813
1001042,-23.312,34.007999
1001043,-23.436001,34.202999
1001044,-23.559999,34.397999
1001045,-23.684,34.591999
1001046,-23.809999,34.786999
1001047,-23.934999,34.980999
1001048,-24.062,35.174999
1001049,-24.188999,35.368999
1001050,-24.316,35.563
1001051,-24.445,35.757
1001052,-24.573999,35.950001
1001053,-24.702999,36.144001
1001054,-24.833,36.337002
1001055,-24.964001,36.529999
1001056,-25.096001,36.723
1001057,-25.228001,36.916
1001058,-25.360001,37.109001
1001059,-25.493999,37.301998
1001060,-25.628,37.493999
1001061,-25.763,37.687
1001062,-25.898001,37.879002
1001063,-26.035,38.070999
1001064,-26.172001,38.263
1001065,-26.309,38.453999
1001066,-26.448,38.646
1001067,-26.587,38.837002
1001068,-26.726999,39.028
1001069,-26.867001,39.219002
1001070,-27.009001,39.41
1001071,-27.150999,39.601002
1001072,-27.294001,39.791
1001073,-27.438,39.981998
1001074,-27.582001,40.172001
1001075,-27.728001,40.362
1001076,-27.874001,40.551998
1001077,-28.021,40.741001
1001078,-28.169001,40.931
1001079,-28.318001,41.119999
1001080,-28.466999,41.308998
1001081,-28.618,41.498001
1001082,-28.768999,41.686001
1001083,-28.921,41.875
1001084,-29.075001,42.063
1001085,-29.229,42.250999
1001086,-29.384001,42.438999
1001087,-29.540001,42.626999
1001088,-29.695999,42.813999
1001089,-29.854,43.000999
1001090,-30.013,43.188
1001091,-30.173,43.375
1001092,-30.333,43.561001
1001093,-30.495001,43.748001
1001094,-30.658001,43.933998
1001095,-30.822001,44.119999
1001096,-30.987,44.305
1001097,-31.152,44.491001
1001098,-31.319,44.675999
1001099,-31.487,44.861
1001100,-31.656,45.044998
1001101,-31.826,45.23
1001102,-31.997999,45.414001
1001103,-32.169998,45.598
1001104,-32.344002,45.780998
1001105,-32.518002,45.965
1001106,-32.694,46.147999
1001107,-32.870998,46.330002
1001108,-33.049,46.513
1001109,-33.228001,46.695
1001110,-33.409,46.876999
1001111,-33.591,47.058998
1001112,-33.773998,47.240002
1001113,-33.958,47.421001
1001114,-34.144001,47.602001
1001115,-34.331001,47.783001
1001116,-34.519001,47.963001
1001117,-34.708,48.143002
1001118,-34.898998,48.321999
1001119,-35.091,48.501999
1001120,-35.285,48.681
1001121,-35.48,48.859001
1001122,-35.675999,49.036999
1001123,-35.874001,49.215
1001124,-36.073002,49.393002
1001125,-36.272999,49.57
1001126,-36.474998,49.747002
1001127,-36.679001,49.924
1001128,-36.883999,50.099998
1001129,-37.09,50.276001
1001130,-37.298,50.451
1001131,-37.507999,50.625999
1001132,-37.719002,50.800999
1001133,-37.931999,50.974998
1001134,-38.146,51.148998
1001135,-38.362,51.323002
1001136,-38.580002,51.495998
1001137,-38.799,51.668999
1001138,-39.02,51.841
1001139,-39.243,52.013
1001140,-39.466999,52.183998
1001141,-39.693001,52.355
1001142,-39.921001,52.526001
1001143,-40.150002,52.695999
1001144,-40.382,52.866001
1001145,-40.615002,53.035
1001146,-40.849998,53.203999
1001147,-41.087002,53.372002
1001148,-41.326,53.540001
1001149,-41.567001,53.708
1001150,-41.808998,53.875
1001151,-42.054001,54.041
1001152,-42.299999,54.207001
1001153,-42.549,54.372002
1001154,-42.799,54.536999
1001155,-43.051998,54.702
1001156,-43.306,54.865002
1001157,-43.563,55.028999
1001158,-43.821999,55.192001
1001159,-44.083,55.354
1001160,-44.346001,55.514999
1001161,-44.611,55.675999
1001162,-44.877998,55.837002
1001163,-45.147999,55.997002
1001164,-45.419998,56.155998
1001165,-45.694,56.314999
1001166,-45.970001,56.473
1001167,-46.249001,56.631001
1001168,-46.529999,56.787998
1001169,-46.813,56.944
1001170,-47.098999,57.098999
1001171,-47.387001,57.254002
1001172,-47.678001,57.409
1001173,-47.971001,57.562
1001174,-48.265999,57.715
1001175,-48.563999,57.867001
1001176,-48.865002,58.019001
1001177,-49.167999,58.169998
1001178,-49.473,58.32
1001179,-49.782001,58.469002
1001180,-50.091999,58.618
1001181,-50.405998,58.764999
1001182,-50.722,58.912998
1001183,-51.041,59.058998
1001184,-51.362999,59.203999
1001185,-51.687,59.348999
1001186,-52.014,59.493
1001187,-52.344002,59.636002
1001188,-52.676998,59.778
1001189,-53.012001,59.919998
1001190,-53.351002,60.060001
1001191,-53.692001,60.200001
1001192,-54.035999,60.339001
1001193,-54.383999,60.476002
1001194,-54.734001,60.612999
1001195,-55.087002,60.749001
1001196,-55.443001,60.884998
1001197,-55.801998,61.019001
1001198,-56.164001,61.152
1001199,-56.528999,61.284
1001200,-56.897999,61.415001
1001201,-57.269001,61.546001
1001202,-57.643002,61.674999
1001203,-58.021,61.803001
1001204,-58.402,61.93
1001205,-58.785999,62.056
1001206,-59.173,62.181
1001207,-59.563,62.305
1001208,-59.957001,62.428001
1001209,-60.354,62.549999
1001210,-60.754002,62.669998
1001211,-61.157001,62.790001
1001212,-61.563,62.908001
1001213,-61.973,63.025002
1001214,-62.386002,63.140999
1001215,-62.803001,63.255001
1001216,-63.222,63.368999
1001217,-63.645,63.480999
1001218,-64.071999,63.591999
1001219,-64.500999,63.702
1001220,-64.933998,63.810001
1001221,-65.371002,63.917
1001222,-65.809998,64.023003
1001223,-66.252998,64.126999
1001224,-66.698997,64.230003
1001225,-67.149002,64.332001
1001226,-67.601997,64.431999
1001227,-68.057999,64.530998
1002000,-18.363001,25.818001
1002001,-18.466999,26.017
1002002,-18.570999,26.216
1002003,-18.676001,26.415001
1002004,-18.781,26.614
1002005,-18.886,26.813
1002006,-18.992001,27.011999
1002007,-19.098,27.209999
1002008,-19.204,27.409
1002009,-19.311001,27.607
1002010,-19.417999,27.806
1002011,-19.525999,28.004
1002012,-19.634001,28.202999
1002013,-19.743,28.400999
1002014,-19.851,28.599001
1002015,-19.961,28.797001
1002016,-20.07,28.995001
1002017,-20.18,29.193001
1002018,-20.291,29.391001
1002019,-20.402,29.587999
1002020,-20.513,29.785999
1002021,-20.625,29.983
1002022,-20.737,30.181
1002023,-20.85,30.378
1002024,-20.962999,30.575001
1002025,-21.077,30.771999
1002026,-21.191,30.969
1002027,-21.305,31.166
1002028,-21.42,31.363001
1002029,-21.535999,31.559999
1002030,-21.652,31.756001
1002031,-21.768,31.952999
1002032,-21.885,32.148998
1002033,-22.003,32.345001
1002034,-22.121,32.542
1002035,-22.239,32.737999
1002036,-22.358,32.933998
1002037,-22.478001,33.129002
1002038,-22.598,33.325001
1002039,-22.719,33.521
1002040,-22.84,33.716
1002041,-22.962,33.911999
1002042,-23.084,34.106998
1002043,-23.207001,34.301998
1002044,-23.33,34.497002
1002045,-23.454,34.692001
1002046,-23.579,34.887001
1002047,-23.704,35.081001
1002048,-23.83,35.276001
1002049,-23.957001,35.470001
1002050,-24.084,35.664001
1002051,-24.211,35.858002
1002052,-24.339001,36.051998
1002053,-24.468,36.245998
1002054,-24.598,36.439999
1002055,-24.728001,36.632999
1002056,-24.858999,36.827
1002057,-24.99,37.02
1002058,-25.122999,37.213001
1002059,-25.256001,37.405998
1002060,-25.389,37.598999
1002061,-25.523001,37.792
1002062,-25.658001,37.984001
1002063,-25.794001,38.175999
1002064,-25.93,38.368999
1002065,-26.066999,38.561001
1002066,-26.205,38.752998
1002067,-26.344,38.944
1002068,-26.483,39.136002
1002069,-26.622999,39.327
1002070,-26.764,39.518002
1002071,-26.906,39.709
1002072,-27.048,39.900002
1002073,-27.191,40.091
1002074,-27.334999,40.282001
1002075,-27.48,40.472
1002076,-27.625999,40.661999
1002077,-27.771999,40.852001
1002078,-27.92,41.042
1002079,-28.068001,41.230999
1002080,-28.216999,41.421001
1002081,-28.367001,41.610001
1002082,-28.517,41.799
1002083,-28.669001,41.987999
1002084,-28.822001,42.175999
1002085,-28.975,42.365002
1002086,-29.129999,42.553001
1002087,-29.285,42.741001
1002088,-29.441,42.929001
1002089,-29.599001,43.116001
1002090,-29.757,43.304001
1002091,-29.916,43.491001
1002092,-30.076,43.678001
1002093,-30.237,43.863998
1002094,-30.4,44.050999
1002095,-30.563,44.237
1002096,-30.726999,44.423
1002097,-30.892,44.609001
1002098,-31.059,44.793999
1002099,-31.226,44.98
1002100,-31.395,45.165001
1002101,-31.563999,45.349998
1002102,-31.735001,45.534
1002103,-31.907,45.717999
1002104,-32.080002,45.902
1002105,-32.254002,46.085999
1002106,-32.429001,46.27
1002107,-32.605999,46.452999
1002108,-32.783001,46.636002
1002109,-32.962002,46.818001
1002110,-33.141998,47.000999
1002111,-33.324001,47.182999
1002112,-33.506001,47.365002
1002113,-33.689999,47.546001
1002114,-33.875,47.727001
1002115,-34.062,47.908001
1002116,-34.249001,48.089001
1002117,-34.438,48.269001
1002118,-34.629002,48.449001
1002119,-34.820999,48.629002
1002120,-35.014,48.807999
1002121,-35.208,48.987
1002122,-35.403999,49.166
1002123,-35.601002,49.344002
1002124,-35.799999,49.521999
1002125,-36.0,49.700001
1002126,-36.202,49.876999
1002127,-36.404999,50.054001
1002128,-36.610001,50.230999
1002129,-36.816002,50.407001
1002130,-37.022999,50.583
1002131,-37.233002,50.758999
1002132,-37.444,50.933998
1002133,-37.655998,51.109001
1002134,-37.869999,51.283001
1002135,-38.085999,51.457001
1002136,-38.303001,51.631001
1002137,-38.521999,51.804001
1002138,-38.743,51.977001
1002139,-38.965,52.148998
1002140,-39.188999,52.320999
1002141,-39.415001,52.493
1002142,-39.641998,52.664001
1002143,-39.872002,52.834
1002144,-40.103001,53.004002
1002145,-40.335999,53.174
1002146,-40.570999,53.342999
1002147,-40.807999,53.512001
1002148,-41.046001,53.681
1002149,-41.286999,53.848999
1002150,-41.528999,54.015999
1002151,-41.773998,54.182999
1002152,-42.02,54.348999
1002153,-42.269001,54.514999
1002154,-42.519001,54.68
1002155,-42.771999,54.845001
1002156,-43.026001,55.009998
1002157,-43.283001,55.173
1002158,-43.542,55.337002
1002159,-43.803001,55.499001
1002160,-44.066002,55.661999
1002161,-44.331001,55.823002
1002162,-44.598,55.984001
1002163,-44.868,56.145
1002164,-45.139999,56.304001
1002165,-45.414001,56.464001
1002166,-45.691002,56.622002
1002167,-45.970001,56.779999
1002168,-46.250999,56.938
