gid,geom
1111111,"MULTIPOLYGON (((3.033830495120065 55.59421295678894, 2.99492831379888 55.81311819476921, 3.384656136418831 55.83448813243278, 3.42142381783326 55.61546472525758, 3.033830495120065 55.59421295678894)))"
1111112,"MULTIPOLYGON (((2.99492831379888 55.81311819476921, 2.955586046221296 56.03201101678292, 3.347471952463489 56.05350045186604, 3.384656136418831 55.83448813243278, 2.99492831379888 55.81311819476921)))"
1112110,"MULTIPOLYGON (((3.457782992007473 55.39643044372913, 3.42142381783326 55.61546472525757, 3.809423603705064 55.63550477977243, 3.843664218176884 55.41636015247743, 3.457782992007473 55.39643044372913)))"
1112111,"MULTIPOLYGON (((3.42142381783326 55.61546472525758, 3.384656136418831 55.83448813243278, 3.774797798082649 55.85463976552613, 3.809423603705064 55.63550477977244, 3.42142381783326 55.61546472525758)))"
1112112,"MULTIPOLYGON (((3.384656136418831 55.83448813243278, 3.347471952463489 56.05350045186604, 3.739779252006673 56.07376492033864, 3.774797798082649 55.85463976552613, 3.384656136418831 55.83448813243278)))"
1113109,"MULTIPOLYGON (((3.877527002400256 55.19720606830059, 3.843664218176884 55.41636015247743, 4.229921908166062 55.43508255133855, 4.261682370357004 55.21582581845931, 3.877527002400256 55.19720606830059)))"
1113110,"MULTIPOLYGON (((3.843664218176884 55.41636015247743, 3.809423603705064 55.63550477977243, 4.197806655511659 55.65433096708193, 4.229921908166062 55.43508255133855, 3.843664218176884 55.41636015247743)))"
1113111,"MULTIPOLYGON (((3.809423603705064 55.63550477977244, 3.774797798082649 55.85463976552613, 4.165329691552484 55.8735709031236, 4.197806655511659 55.65433096708195, 3.809423603705064 55.63550477977244)))"
1114108,"MULTIPOLYGON (((4.293094791027405 54.99656092696211, 4.261682370357004 55.21582581845931, 4.646185000042562 55.23324278767536, 4.675511607347166 55.01388281810392, 4.293094791027405 54.99656092696211)))"
1114109,"MULTIPOLYGON (((4.261682370357004 55.21582581845931, 4.229921908166062 55.43508255133855, 4.616533106861065 55.45259564766304, 4.646185000042562 55.23324278767536, 4.261682370357004 55.21582581845931)))"
1114110,"MULTIPOLYGON (((4.229921908166062 55.43508255133855, 4.197806655511659 55.65433096708193, 4.586549612697847 55.67194125980425, 4.616533106861065 55.45259564766304, 4.229921908166062 55.43508255133855)))"
1114111,"MULTIPOLYGON (((4.197806655511659 55.65433096708195, 4.165329691552484 55.8735709031236, 4.556228041356979 55.89127948230133, 4.586549612697847 55.67194125980426, 4.197806655511659 55.65433096708195)))"
1115105,"MULTIPOLYGON (((4.761600552335921 54.35576158377226, 4.733213449087125 54.57514208624217, 5.111833042065958 54.59109151911972, 5.138194773962174 54.37162525057495, 4.761600552335921 54.35576158377226)))"
