name,centroid
"Hamburg","POINT(10.01089861612948 53.54729164171944)"
"HH","POINT(10.01089861612948 53.54729164171944)"
"Niedersachsen","POINT(9.15953448002651 52.76828720952946)"
"NI","POINT(9.15953448002651 52.76828720952946)"
"Bremen","POINT(8.741738890193005 53.19811514620005)"
"HB","POINT(8.741738890193005 53.19811514620005)"
"Nordrhein-Westfalen","POINT(7.561745964276369 51.47983894428225)"
"NW","POINT(7.561745964276369 51.47983894428225)"
"Hessen","POINT(9.031376704677957 50.60338060441592)"
"HE","POINT(9.031376704677957 50.60338060441592)"
"Rheinland-Pfalz","POINT(7.449301564708398 49.91382262023582)"
"RP","POINT(7.449301564708398 49.91382262023582)"
"Baden-Württemberg","POINT(9.047298225678695 48.54404192504401)"
"BW","POINT(9.047298225678695 48.54404192504401)"
"Bayern","POINT(11.41991667968079 48.94783847343781)"
"BY","POINT(11.41991667968079 48.94783847343781)"
"Schleswig-Holstein","POINT(9.810726363174156 54.18479866154387)"
"SH","POINT(9.810726363174156 54.18479866154387)"
"Saarland","POINT(6.951516887001719 49.38431590291962)"
"SL","POINT(6.951516887001719 49.38431590291962)"
"Berlin","POINT(13.40205978568922 52.5013976996948)"
"BE","POINT(13.40205978568922 52.5013976996948)"
"Brandenburg","POINT(13.39674907982825 52.47326988702427)"
"BB","POINT(13.39674907982825 52.47326988702427)"
"Mecklenburg-Vorpommern","POINT(12.53428047559122 53.75306253702431)"
"MV","POINT(12.53428047559122 53.75306253702431)"
"Sachsen","POINT(13.34862748694377 51.05210552513572)"
"SN","POINT(13.34862748694377 51.05210552513572)"
"Sachsen-Anhalt","POINT(11.70030237327914 52.01331410204496)"
"ST","POINT(11.70030237327914 52.01331410204496)"
"Thüringen","POINT(11.02724462403686 50.90397877732705)"
"TH","POINT(11.02724462403686 50.90397877732705)"
"nan","POINT(10.45 51.166)"
" ","POINT(10.45 51.166)"
"Ausschließliche Wirtschaftszone (Wind See)","POINT(7 55)"
"AWZ","POINT(7 55)"
"AWZ_NN","POINT(7 55)"
"AWZ_NS","POINT(6.5 54.4)"
