year,state,type,parameter,Steinkohle (roh),Steinkohle (Briketts),Steinkohle (Koks),Steinkohle (sonstige),Braunkohle (roh),Braunkohle (Briketts),Braunkohle (sonstige),Erdöl,Rohbenzin,Ottokraftstoffe,Dieselkraftstoffe,Flugturbinenkraftstoffe,Heizöl (leicht),Heizöl (schwer),Petrolkoks,Mineralölprodukte (sonstige),Flüssiggas,Raffineriegas,"Kokereigas, Stadtgas","Gichtgas, Konvertergas",Erdgas,Grubengas,"Klärgas, Deponiegas",Wasserkraft,Windkraft,Solarenergie,Biomasse,Biotreibstoff,Abfälle (biogen),EE (sonstige),Strom,Kernenergie,Fernwärme,Abfälle (nicht biogen),andere Energieträger,Insgesamt
2012,BW,primary,Primärenergieverbrauch im Inland,162573.8235,,1600.5361,,,1223.7693,4110.0551,586786.9932,-9939.4116,-92949.2039,15438.0172,10738.8,26605.554,-13393.1593,-874.4512,-5877.0884,-21235.2062,,,,241401.0365,,2739.8425,17802.4073,2397.8998,19555.938,120430.6719,,,5606.8974,63760.4041,238967.6727,,15343.4709,,1392815.2689
2012,BW,input,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),114640.262,,,,,,,,,,,,367.131,596.755,,,,,,,1082.64,,55.44,,,,2394.459,,,,,,,1263.4976,,120400.1846
2012,BW,input,Heizkraftwerke der allgemeinen Versorgung (nur KWK),25971.027,,,,,,281.712,,,,,,122.457,117.309,,,9.411,,,,15198.4328,,115.789,,,,7664.443,,,,,,,3559.775,,53040.3558
2012,BW,input,Heizwerke,18781.8802,,,,,,4.362,,,,,,625.702,71.095,,,5.936,,,,10432.316,,65.807,,,,11575.684,,,37.256,,,,4770.6352,,46370.6735
2012,BW,input,Umwandlungseinsatz insgesamt,160514.0028,,,,,,286.074,586786.9932,48.1189,,0.3203,,1213.364,1703.7884,820.2266,22548.5724,802.541,1266.5716,,,36243.4384,,2232.8608,17802.4073,2397.8998,14515.938,83021.0229,,,37.256,9195.5016,238967.6727,,10309.3095,,1190713.8801
2012,BW,output,Wärmekraftwerke der allgemeinen Versorgung (ohne KWK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55717.7724,,,,,55717.7724
2012,BW,output,Heizkraftwerke der allgemeinen Versorgung (nur KWK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13336.7184,,26473.2382,,,39809.9566
2012,BW,output,Heizwerke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23364.9799,,,23364.9799
2012,BW,output,Umwandlungsausstoß insgesamt,,,,,,,,,12356.388,198079.1969,166774.7918,,102487.6529,18750.7916,10429.7632,52213.1759,31533.0472,27046.55,,,,,,,,,22003.1902,,,,209100.1619,,49838.2181,,,900612.9279
2012,BW,tender,Energieangebot nach Umwandlungsbilanz,2059.8207,,1600.5361,,,1223.7693,3823.9811,,2368.8576,105129.993,182178.9526,10738.8,127715.0342,906.6648,1162.5349,23787.5151,7224.1947,,,,205155.0878,,23.2906,,,5040,59412.8393,,,5569.6414,244305.2134,,42212.0612,5034.1614,,1036672.9491
