id,IWES Windreport,IWES Windreport,IWES Windreport,IWES Windreport,IWES Windreport,IWES Windreport,IWES Windreport,IWES Windreport,Wikipedia,Wikipedia,Wikipedia,Wikipedia,Wikipedia,Wikipedia,Wikipedia,Wikipedia,Wikipedia,reegis,reegis,reegis,reegis
,name,capacity [MW],water depth [m],distance from the coast [km],area [km2],state,start of construction (latest),region,number,geom_str,geom,commissioning,commissioning (planned),type,latitude,longitude,capacity,com_year,com_month,capacity,geometry
0,Albatros,316,39-41,57-113,39,genehmigt,01.06.15,Nordsee,16,54° 30′ 0″ N. 6° 24′ 0″ O,POINT(6.4 54.5),,,Siemens SWT-7.0-154,"54,5","6,4",112,,,,
1,Borkum Riffgrund 2,349,25-30,40,43,genehmigt,01.07.18,Nordsee,56,53° 57′ 21″ N. 6° 29′ 45″ O,POINT(6.495833333333334 53.95583333333334),,2019,MHI Vestas V164-8.0 MW (leistungsgesteigert auf 8.3 MW),"53,9558333333333","6,49583333333333",349,,,,
2,Borkum Riffgrund West,400,29-33,67-76,30,genehmigt,31.07.16,Nordsee,,54° 2′ 49″ N. 6° 14′ 2″ O,POINT(6.233888888888887 54.046944444444435),,2024,,"54,0469444444444","6,23388888888889",400,,,,
3,Deutsche Bucht,210,39-41,98-117,"22,6",genehmigt,30.09.18,Nordsee,30,54° 18′ 18″ N. 5° 47′ 56″ O,POINT(5.7988888888888885 54.305),,2019,MHI Vestas V164-8.0 MW (leistungsgesteigert auf 8.4 MW),"54,305","5,79888888888889",210,,,,
4,HeDreiht (1),400,39,97-104,"62,49",genehmigt,30.06.17,Nordsee,,,POINT(0 0),,,,,,400,,,,
5,HeDreiht (2),195,39,97-104,19,genehmigt,30.06.17,Nordsee,,,POINT(0 0),,,,,,195,,,,
6,Hohe See,492,39-40,90-104,"40,4",genehmigt,01.06.18,Nordsee,71,54° 26′ 0″ N. 6° 19′ 0″ O,POINT(6.316666666666666 54.43333333333333),,2019,Siemens SWT-7.0-154,"54,4333333333333","6,31666666666667",492,,,,
7,Gode Wind 04,252,30-34,33,29,genehmigt,31.12.18,Nordsee,,,POINT(0 0),,,,,,252,,,,
8,Nordsee 2,"295,2",26-34,47.3-48,"36,45",genehmigt,01.07.18,Nordsee,,,POINT(0 0),,,,,,"295,2",,,,
9,Nordsee 3,360,26-34,47.3-49,29,genehmigt,01.07.19,Nordsee,,,POINT(0 0),,,,,,360,,,,
10,Kaikas,581,39-41,110-125,65,genehmigt,31.12.19,Nordsee,,,POINT(0 0),,,,,,581,,,,
11,Merkur Offshore,396,27-33,60,40,genehmigt,01.06.16,Nordsee,66,54° 2′ 0″ N. 6° 33′ 0″ O,POINT(6.55 54.03333333333333),,2019,GE Haliade 150-6MW,"54,0333333333333","6,55",396,,,,
12,Nördlicher Grund,320,25-38,84-88,55,genehmigt,31.12.16,Nordsee,,,POINT(0 0),,,,,,320,,,,
13,OWP Delta Nordsee 1,235,29-35,50-51.4,28,genehmigt,30.06.20,Nordsee,,,POINT(0 0),,,,,,235,,,,
14,OWP Delta Nordsee 2,192,29-33,39-42,"9,59",genehmigt,30.06.20,Nordsee,,,POINT(0 0),,,,,,192,,,,
15,OWP West,210,29-32,67-80,"14,28",genehmigt,30.12.20,Nordsee,,,POINT(0 0),,,,,,210,,,,
16,Trianel Windpark Borkum Phase 2,200,28-33,65.6-66.3,56,genehmigt,01.01.17,Nordsee,32,54° 3′ 0″ N. 6° 27′ 58″ O,POINT(6.466111111111113 54.05),,2019,Senvion 6.2M152 (leistungsgesteigert auf 6.35 MW),"54,05","6,46611111111111",200,,,,
17,Gode Wind 03,112,28-34,36,5,geplant,,Nordsee,,54° 2′ 13″ N. 7° 6′ 36″ O,POINT(7.1099999999999985 54.036944444444465),,2024,,"54,0369444444445","7,11",112,,,,
18,Nordsee 1,"332,1",26-35,44-47.3,34,in Bau,01.07.16,Nordsee,54,53° 58′ 0″ N. 6° 48′ 0″ O,POINT(6.8 53.96666666666667),31.12.2017,,Senvion 6.2M126,"53,9666666666667","6,8","332,1",2017,12,332.1,POINT(6.466111111111113 54.05)
19,Veja Mate,400,39-41,114,50,in Bau,01.08.16,Nordsee,67,54° 19′ 1″ N. 5° 52′ 15″ O,POINT(5.870833333333334 54.31694444444447),30.06.2017,,Siemens SWT-6.0-154,"54,3169444444445","5,87083333333333",400,2017,6,400,POINT(7.1099999999999985 54.036944444444465)
20,Nordergründe,110,4-14,16-17.6,6,in Bau,,Nordsee,18,53° 50′ 0″ N. 8° 10′ 0″ O,POINT(8.166666666666666 53.83333333333334),31.12.2017,,Senvion 6.2M126,"53,8333333333333","8,16666666666667",110,2017,12,110,POINT(6.8 53.96666666666667)
21,Alpha Ventus,60,30,43,8,in Betrieb,,Nordsee,12,54° 0′ 30″ N. 6° 35′ 54″ O,POINT(6.598333333333333 54.00833333333333),31.12.2010,,6 × REpower 5M126. 6 × AREVA Multibrid. M5000-116,"54,0083333333333","6,59833333333333",60,2010,12,60,POINT(5.870833333333334 54.31694444444447)
22,Amrumbank West,288,19.5-24,36-55,32,in Betrieb,,Nordsee,80,54° 30′ 0″ N. 7° 48′ 0″ O,POINT(7.8 54.5),31.12.2015,,Siemens SWT-3.6-120 (leistungsgesteigert auf 3.78 MW),"54,5","7,8",288,2015,12,288,POINT(8.166666666666666 53.83333333333334)
23,BARD Offshore 1,400,39-41,89-111,"58,9",in Betrieb,,Nordsee,80,54° 21′ 30″ N. 5° 58′ 30″ O,POINT(5.9750000000000005 54.35833333333333),31.12.2013,,BARD 5.0-122,"54,3583333333333","5,975",400,2013,12,400,POINT(6.598333333333333 54.00833333333333)
24,Borkum Riffgrund 1,312,23-29,54,"35,7",in Betrieb,,Nordsee,78,53° 58′ 0″ N. 6° 33′ 0″ O,POINT(6.55 53.96666666666667),31.12.2015,,Siemens SWT-4.0-120,"53,9666666666667","6,55",312,2015,12,312,POINT(7.8 54.5)
25,Butendiek,288,17-22,32,34,in Betrieb,,Nordsee,80,54° 54′ 0″ N. 7° 45′ 0″ O,POINT(7.75 54.9),31.12.2015,,Siemens SWT-3.6-120,"54,9","7,75",288,2015,12,288,POINT(5.9750000000000005 54.35833333333333)
26,Global Tech I,400,38-41,109.4-115,41,in Betrieb,,Nordsee,80,54° 30′ 0″ N. 6° 21′ 30″ O,POINT(6.3583333333333325 54.5),31.12.2015,,AREVA Multibrid M5000-116,"54,5","6,35833333333333",400,2015,12,400,POINT(6.55 53.96666666666667)
27,Gode Wind 01,330,26-35,40-42.1,37,in Betrieb,30.06.15,Nordsee,55,54° 4′ 0″ N. 7° 2′ 0″ O,POINT(7.033333333333332 54.06666666666667),30.06.2017,,Siemens SWT-6.0-154,"54,0666666666667","7,03333333333333",330,2017,6,330,POINT(7.75 54.9)
28,Gode Wind 02,252,26-35,33-34,29,in Betrieb,31.12.15,Nordsee,42,54° 3′ 0″ N. 7° 1′ 0″ O,POINT(7.0166666666666675 54.05),30.06.2017,,Siemens SWT-6.0-154,"54,05","7,01666666666667",252,2017,6,252,POINT(6.3583333333333325 54.5)
29,Meerwind Süd / Ost,288,23-26,52.4-53,40,in Betrieb,,Nordsee,80,54° 23′ 0″ N. 7° 41′ 0″ O,POINT(7.683333333333334 54.38333333333333),31.12.2015,,Siemens SWT-3.6-120,"54,3833333333333","7,68333333333333",288,2015,12,288,POINT(7.033333333333332 54.06666666666667)
30,Nordsee Ost,"295,2",22-25,51.4-57,24,in Betrieb,,Nordsee,48,54° 26′ 0″ N. 7° 41′ 0″ O,POINT(7.683333333333334 54.43333333333333),31.12.2015,,Senvion 6.2M126,"54,4333333333333","7,68333333333333","295,2",2015,12,295.2,POINT(7.0166666666666675 54.05)
31,ENOVA Offshore Ems-Emden,"4,5",0-2,0-0.6,"0,2",in Betrieb,,Nordsee,1,53°19°58.799°N.7°12°39.6O,POINT(7.211 53.332999722222226),31.12.2004,,Enercon E-112,"53,3329997222222","7,211","4,5",2004,12,4.5,POINT(7.683333333333334 54.38333333333333)
32,Riffgat,108,18-23,30-42,"13,2",in Betrieb,,Nordsee,30,53° 41′ 24″ N. 6° 28′ 48″ O,POINT(6.48 53.69),31.12.2014,,Siemens SWT-3.6-120,"53,69","6,48",108,2014,12,108,POINT(7.683333333333334 54.43333333333333)
33,DanTysk,288,21-32,70-74,70,in Betrieb ,,Nordsee,80,55° 9′ 0″ N. 7° 10′ 30″ O,POINT(7.1750000000000025 55.15),31.12.2015,,Siemens SWT-3.6-120,"55,15","7,175",288,2015,12,288,POINT(7.211 53.332999722222226)
34,Trianel Windpark Borkum Phase 1,200,28-33,65.6-66.3,56,in Betrieb ,,Nordsee,40,54° 2′ 46″ N. 6° 27′ 25″ O,POINT(6.4569444444444475 54.04611111111111),31.12.2015,,AREVA Multibrid M5000-116,"54,0461111111111","6,45694444444445",200,2015,12,200,POINT(6.48 53.69)
35,Sandbank,288,25-37,83-96,59,teilweise in Betrieb,31.12.16,Nordsee,72,55° 11′ 0″ N. 6° 51′ 0″ O,POINT(6.85 55.18333333333333),30.06.2017,,Siemens SWT-4.0-130,"55,1833333333333","6,85",288,2017,6,288,POINT(7.1750000000000025 55.15)
36,Breitling,"2,5",2,0-0.3,1,in Betrieb ,,Ostsee,1,54°9°43.199°N.12°7°55.199°O,POINT(12.1180 54.1894),31.12.2006,,Nordex N90 Offshore,"54,1894","12,118","2,5",2006,12,2.5,POINT(6.4569444444444475 54.04611111111111)
37,EnBW Baltic 1,"48,3",16-19,16-17.1,7,in Betrieb, ,Ostsee,21,54° 36′ 32″ N. 12° 39′ 4″ O,POINT(12.651111111111113 54.60888888888889),31.12.2011,,Siemens SWT-2.3-93,"54,6088888888889","12,6511111111111","48,3",2011,12,48.3,POINT(6.85 55.18333333333333)
38,EnBW Baltic 2,288,23-44,32-35.4,27,in Betrieb ,,Ostsee,80,54° 58′ 55″ N. 13° 9′ 43″ O,POINT(13.161944444444444 54.981944444444466),31.12.2015,,Siemens SWT-3.6-120,"54,9819444444445","13,1619444444444",288,2015,12,288,POINT(12.1180 54.1894)
39,Wikinger,350,36-40,35-39,35,in Bau ,,Ostsee,70,54° 50′ 2″ N. 14° 4′ 5″ O,POINT(14.068055555555556 54.83388888888889),31.12.2017,,Adwen AD 5-135,"54,8338888888889","14,0680555555556",350,2017,12,350,POINT(12.651111111111113 54.60888888888889)
40,Arkona-Becken Südost,385,21-27,35-37,40,genehmigt,01.10.16,Ostsee,60,54° 46′ 55″ N. 14° 7′ 16″ O,POINT(14.121111111111116 54.78194444444443),,2019,Siemens SWT-6.0-154 (leistungsgesteigert auf 6.4 MW),"54,7819444444444","14,1211111111111",,,,,
