Bundesland,Jahr,Anm.,Insgesamt,"Gewinnung v. Steinen u. Erden, sonst. Bergbau und Verarb. Gewerbe",Verkehr (gesamt),Schienenverkehr,Straßenverkehr,Luftverkehr,Küsten- und Binnenschifffahrt,"Haushalte, Gewerbe, Handel, Dienstl., übrige Verbraucher"
Baden-Württemberg,2011,,1026214,232042,311687,6988,295542,8598,558,482485
Bayern,2011,,1391402,321876,449288,10979,377910,60229,170,620239
Berlin,2011,,241218,17241,65780,3467,50100,11789,425,158197
Brandenburg,2011,,295571,95777,79384,3994,69841,5463,85,120411
Bremen,2011,,113335,59796,19991,654,16557,1689,1091,33550
Hamburg,2011,,177739,32835,59153,1893,43800,11460,1999,85751
Hessen,2011,,762342,112183,349203,5685,178573,164011,933,300956
Mecklenburg-Vorpommern,2011,,135437,20787,46518,2337,43610,389,182,68132
Niedersachsen,2011,,914057,289768,240922,6985,225896,7063,978,383367
Nordrhein-Westfalen,2011,,2097470,852245,490811,7546,426801,53716,2748,754414
Rheinland-Pfalz,2011,,458785,151967,132944,2523,121832,7909,681,173874
Saarland,2011,,208145,132630,26411,547,25649,215,-,49104
Sachsen,2011,,343204,85353,106538,2642,83606,20244,46,151312
Sachsen-Anhalt,2011,,305356,139472,57388,2824,54233,203,128,108495
Schleswig-Holstein,2011,,257370,46392,74205,1436,71046,659,1063,136773
Thüringen,2011,,206693,56290,55418,1812,53237,369,-,94987
Baden-Württemberg,2012,,1011785,223040,311463,6910,293150,10808,596,477282
Bayern,2012,,1410495,325027,442206,11102,372536,58440,128,643262
Berlin,2012,,243593,16374,66445,3519,49839,12619,468,160774
Brandenburg,2012,,296725,96121,78844,4129,69786,4844,85,121761
Bremen,2012,,111743,59311,20093,637,16712,1652,1093,32340
Hamburg,2012,,181407,34629,58940,1891,43760,11205,2085,87838
Hessen,2012,,771444,110257,355742,5660,176747,172485,851,305445
Mecklenburg-Vorpommern,2012,,139877,20593,46360,2254,43709,214,182,72924
Niedersachsen,2012,,888393,284082,238832,6973,224159,6849,851,365479
Nordrhein-Westfalen,2012,,2075105,816009,503987,7107,438138,55599,3142,755109
Rheinland-Pfalz,2012,,451980,148235,129299,2547,119902,6084,766,174445
Saarland,2012,,199029,120732,25990,504,25314,172,-,52306
Sachsen,2012,,359910,87550,109770,2665,82929,24131,46,162590
Sachsen-Anhalt,2012,,316629,141209,57444,2719,54328,226,170,117976
Schleswig-Holstein,2012,,260012,45296,74651,1606,71420,604,1021,140065
Thüringen,2012,,209621,55018,54648,1968,52551,128,-,99955
Baden-Württemberg,2013,,1059858,228575,315522,6855,298358,9756,553,515761
Bayern,2013,,1438436,319148,445106,11083,378526,55370,128,674182
Berlin,2013,,252085,15398,69000,3305,51808,13376,511,167687
Brandenburg,2013,,309742,100344,80459,3810,72071,4491,85,128939
Bremen,2013,,111635,55954,18974,629,15639,1814,892,36707
Hamburg,2013,,178700,29189,59744,1924,45306,10469,2044,89767
Hessen,2013,,789798,111250,361717,6146,180529,174275,767,316832
Mecklenburg-Vorpommern,2013,,143390,22085,47138,2353,44455,149,182,74167
Niedersachsen,2013,,903818,272574,243109,6605,228558,7180,766,388135
Nordrhein-Westfalen,2013,,2087859,762999,513106,7728,446658,55770,2950,811754
Rheinland-Pfalz,2013,,466787,152796,129063,2307,120461,5571,724,184928
Saarland,2013,,195584,116129,26117,458,25443,171,-,53339
Sachsen,2013,,367527,88391,110079,2580,83871,23583,45,169057
Sachsen-Anhalt,2013,,315424,139815,57874,3092,54426,186,170,117735
Schleswig-Holstein,2013,,267454,44450,76451,1431,73418,622,980,146554
Thüringen,2013,,214692,55534,53965,1937,51943,86,-,105194
Baden-Württemberg,2014,,994726,221068,319848,6052,303379,9906,511,453809
Bayern,2014,,1332684,309305,449321,11004,384114,54074,128,574058
Berlin,2014,,233468,12499,74587,3485,56777,13736,588,146382
Brandenburg,2014,,298893,95357,81883,3927,73210,4660,85,121653
Bremen,2014,,118902,64248,19957,603,16591,1885,877,34697
Hamburg,2014,,168703,29357,60852,2048,45501,11174,2129,78495
Hessen,2014,,775084,108279,375036,5754,183982,184491,809,291769
Mecklenburg-Vorpommern,2014,,139306,22647,47068,2238,44398,251,182,69590
Niedersachsen,2014,,883108,265409,245874,6554,231144,7366,809,371825
Nordrhein-Westfalen,2014,,2033910,745320,515362,7461,450203,54484,3214,764228
Rheinland-Pfalz,2014,,440073,149047,130567,2301,122863,4722,682,160458
Saarland,2014,,199238,126371,25753,445,25180,128,-,47114
Sachsen,2014,,349061,87081,110645,2505,84559,23540,41,151335
Sachsen-Anhalt,2014,,302936,142234,57663,3107,54218,168,170,103039
Schleswig-Holstein,2014,,252032,41550,76815,1443,73983,410,979,133667
Thüringen,2014,,202701,55600,53825,1917,51786,122,-,93277
